"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","5512","5480","5577","5397","5255","5146","5108","4924","4734","4737","4531","4492","4342","4159","4141","4123","4086","3970"
"0","Femmine","5122","5157","5174","5152","4907","4872","5021","4636","4682","4271","4155","4259","4106","4031","3998","3883","3997","3574"
"0","Totale","10634","10637","10751","10549","10162","10018","10129","9560","9416","9008","8686","8751","8448","8190","8139","8006","8083","7544"
"1","Maschi","5430","5470","5416","5515","5290","5176","5140","5029","4925","4714","4714","4560","4578","4351","4233","4128","4089","4073"
"1","Femmine","5247","5082","5104","5131","5006","4843","4869","4937","4623","4690","4255","4169","4303","4113","4037","4005","3844","3975"
"1","Totale","10677","10552","10520","10646","10296","10019","10009","9966","9548","9404","8969","8729","8881","8464","8270","8133","7933","8048"
"2","Maschi","5415","5441","5424","5372","5427","5279","5167","5077","5049","4920","4752","4777","4637","4553","4356","4237","4137","4090"
"2","Femmine","5226","5244","5041","5062","5049","4960","4864","4784","4977","4593","4725","4305","4268","4321","4106","4052","3991","3815"
"2","Totale","10641","10685","10465","10434","10476","10239","10031","9861","10026","9513","9477","9082","8905","8874","8462","8289","8128","7905"
"3","Maschi","5425","5434","5399","5400","5284","5373","5298","5099","5083","5037","4900","4803","4857","4654","4578","4364","4271","4134"
"3","Femmine","5109","5180","5214","5044","4965","5000","4951","4827","4772","4939","4601","4753","4304","4304","4334","4122","4077","4017"
"3","Totale","10534","10614","10613","10444","10249","10373","10249","9926","9855","9976","9501","9556","9161","8958","8912","8486","8348","8151"
"4","Maschi","5391","5440","5411","5383","5359","5268","5375","5205","5114","5068","5037","4929","4869","4865","4674","4578","4351","4308"
"4","Femmine","5040","5110","5148","5215","5017","4947","5011","4929","4875","4779","4977","4622","4800","4337","4312","4326","4138","4133"
"4","Totale","10431","10550","10559","10598","10376","10215","10386","10134","9989","9847","10014","9551","9669","9202","8986","8904","8489","8441"
"5","Maschi","5605","5452","5459","5381","5342","5347","5307","5317","5236","5077","5094","5065","4977","4917","4885","4675","4616","4370"
"5","Femmine","5314","5054","5093","5118","5181","4983","4945","4953","4925","4863","4785","5015","4693","4799","4348","4347","4348","4150"
"5","Totale","10919","10506","10552","10499","10523","10330","10252","10270","10161","9940","9879","10080","9670","9716","9233","9022","8964","8520"
"6","Maschi","5497","5620","5437","5450","5361","5346","5367","5246","5333","5214","5097","5122","5117","4980","4933","4889","4698","4645"
"6","Femmine","5331","5288","5030","5084","5079","5152","4993","4893","4997","4915","4870","4849","5035","4676","4798","4353","4368","4386"
"6","Totale","10828","10908","10467","10534","10440","10498","10360","10139","10330","10129","9967","9971","10152","9656","9731","9242","9066","9031"
"7","Maschi","5741","5519","5610","5440","5407","5326","5431","5325","5271","5320","5226","5106","5177","5144","4974","4905","4879","4741"
"7","Femmine","5377","5342","5257","5015","5022","5084","5196","4975","4955","4992","4940","4901","4869","5063","4670","4788","4371","4376"
"7","Totale","11118","10861","10867","10455","10429","10410","10627","10300","10226","10312","10166","10007","10046","10207","9644","9693","9250","9117"
"8","Maschi","5955","5766","5526","5588","5390","5396","5377","5405","5358","5253","5310","5262","5115","5205","5128","4994","4899","4909"
"8","Femmine","5607","5380","5305","5256","4977","5007","5098","5191","5002","4953","5003","4978","4928","4858","5056","4667","4780","4380"
"8","Totale","11562","11146","10831","10844","10367","10403","10475","10596","10360","10206","10313","10240","10043","10063","10184","9661","9679","9289"
"9","Maschi","6249","6007","5742","5517","5554","5378","5446","5377","5480","5377","5246","5337","5289","5124","5205","5114","5001","4906"
"9","Femmine","5917","5624","5351","5277","5276","4973","5059","5083","5230","5011","4966","5019","5017","4928","4848","5087","4681","4785"
"9","Totale","12166","11631","11093","10794","10830","10351","10505","10460","10710","10388","10212","10356","10306","10052","10053","10201","9682","9691"
"10","Maschi","6492","6254","5973","5755","5506","5548","5434","5449","5448","5531","5372","5297","5377","5296","5130","5179","5134","5023"
"10","Femmine","6066","5915","5617","5346","5286","5287","5055","5075","5102","5264","5012","4996","5064","5051","4921","4839","5114","4707"
"10","Totale","12558","12169","11590","11101","10792","10835","10489","10524","10550","10795","10384","10293","10441","10347","10051","10018","10248","9730"
"11","Maschi","6295","6482","6232","5955","5771","5498","5575","5429","5505","5486","5590","5407","5316","5382","5315","5136","5173","5141"
"11","Femmine","6038","6039","5894","5603","5356","5282","5307","5070","5149","5123","5310","5039","5023","5071","5049","4941","4837","5103"
"11","Totale","12333","12521","12126","11558","11127","10780","10882","10499","10654","10609","10900","10446","10339","10453","10364","10077","10010","10244"
"12","Maschi","6357","6267","6447","6207","5950","5791","5513","5573","5495","5548","5521","5595","5451","5309","5388","5316","5144","5199"
"12","Femmine","6113","6033","6030","5868","5600","5365","5328","5289","5118","5211","5152","5352","5077","5022","5063","5033","4934","4874"
"12","Totale","12470","12300","12477","12075","11550","11156","10841","10862","10613","10759","10673","10947","10528","10331","10451","10349","10078","10073"
"13","Maschi","6332","6334","6254","6419","6181","5947","5831","5502","5619","5545","5584","5552","5631","5472","5314","5382","5341","5161"
"13","Femmine","6066","6117","6003","6014","5855","5606","5392","5313","5354","5189","5239","5186","5383","5088","5037","5089","5048","4935"
"13","Totale","12398","12451","12257","12433","12036","11553","11223","10815","10973","10734","10823","10738","11014","10560","10351","10471","10389","10096"
"14","Maschi","6153","6318","6311","6218","6406","6156","5992","5812","5575","5658","5570","5597","5614","5650","5491","5320","5390","5353"
"14","Femmine","5864","6084","6100","5972","6003","5867","5646","5401","5360","5384","5230","5278","5235","5405","5090","5044","5113","5055"
"14","Totale","12017","12402","12411","12190","12409","12023","11638","11213","10935","11042","10800","10875","10849","11055","10581","10364","10503","10408"
"15","Maschi","6233","6209","6313","6307","6188","6400","6164","5986","5862","5592","5690","5595","5611","5648","5659","5516","5345","5388"
"15","Femmine","6053","5890","6078","6060","5963","6025","5908","5634","5447","5401","5403","5265","5306","5250","5398","5100","5056","5149"
"15","Totale","12286","12099","12391","12367","12151","12425","12072","11620","11309","10993","11093","10860","10917","10898","11057","10616","10401","10537"
"16","Maschi","6575","6227","6194","6304","6304","6183","6429","6148","6012","5892","5619","5703","5625","5635","5678","5673","5542","5372"
"16","Femmine","6200","6067","5891","6056","6064","5968","6051","5931","5656","5466","5409","5453","5315","5323","5256","5377","5120","5085"
"16","Totale","12775","12294","12085","12360","12368","12151","12480","12079","11668","11358","11028","11156","10940","10958","10934","11050","10662","10457"
"17","Maschi","6613","6554","6221","6156","6291","6302","6196","6413","6208","6050","5926","5646","5769","5658","5658","5688","5695","5555"
"17","Femmine","6609","6183","6034","5883","6054","6063","5991","6041","5997","5687","5493","5451","5473","5333","5335","5296","5389","5127"
"17","Totale","13222","12737","12255","12039","12345","12365","12187","12454","12205","11737","11419","11097","11242","10991","10993","10984","11084","10682"
"18","Maschi","6975","6598","6511","6210","6133","6280","6319","6195","6449","6235","6080","5963","5699","5810","5730","5737","5814","5738"
"18","Femmine","6637","6581","6154","6003","5850","6059","6062","5980","6080","6029","5713","5543","5489","5484","5348","5335","5312","5417"
