CODREG,REGIONE,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,ASC_1LIV_COD,ASC_1LIV_NOME,ASC_1LIV_TIPO,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8,CIT_1_LKA,CIT_2_UKR,CIT_3_CHN,CIT_4_PAK,CIT_5_ROU,CIT_6_BGD,CIT_7_PHL,CIT_8_NGA,CIT_9_SEN,CIT_10_DOM
15,Campania,63,Napoli,49,Napoli,63049,630495100021,63049001,Municipalità  1,Municipalità,64,29,35,2,2,3,1,5,5,2,6,1,6,2,11,6,5,1,6,0,0,2,0,4,2,2,3,0,3,1,6,2,3,0,1,2,2,1,1,1,3,0,3,1,3,1,5,4,2,1,5,60,29,31,2,4,16,18,20,0,2,8,8,11,2,2,8,10,9,30,17,13,7,43,12,2,23,4,5,20,8,28,17,11,2,0,2,1,1,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2,31,16,7,3,3,1,1,0,0,0,0,2,0,0,0,0,0
15,Campania,63,Napoli,49,Napoli,63049,630495100041,63049001,Municipalità  1,Municipalità,199,86,113,13,12,11,14,10,12,3,6,19,17,14,13,14,8,12,21,7,5,3,7,6,3,3,3,5,10,7,6,6,4,2,9,6,7,8,7,4,9,0,3,14,7,7,7,8,4,10,12,177,76,101,6,15,28,57,71,3,7,11,24,31,3,8,17,33,40,69,36,33,36,120,40,15,56,14,21,64,26,67,36,31,3,1,2,0,0,3,0,0,0,3,1,2,0,2,1,0,0,1,0,2,0,2,0,2,82,27,22,14,12,4,3,2,0,0,0,0,0,0,0,0,0
15,Campania,63,Napoli,49,Napoli,63049,630495100051,63049001,Municipalità  1,Municipalità,137,58,79,1,3,6,12,9,7,6,7,5,7,11,14,10,14,5,20,1,1,2,4,5,2,3,5,2,2,4,8,5,5,2,7,0,2,4,8,4,5,3,2,3,5,7,6,5,9,3,13,133,56,77,4,9,24,45,51,1,2,8,23,22,3,7,16,22,29,48,22,26,8,82,39,3,37,14,5,45,25,44,20,24,8,4,4,3,5,0,0,0,0,8,4,4,2,6,0,1,3,0,1,3,0,4,2,2,73,36,19,9,9,0,0,2,0,0,0,0,0,3,0,0,0
15,Campania,63,Napoli,49,Napoli,63049,630495100071,63049001,Municipalità  1,Municipalità,155,59,96,6,9,7,9,11,10,9,9,10,8,9,18,13,8,3,16,2,3,4,5,4,3,6,2,6,1,2,8,5,3,1,4,4,6,3,4,7,7,3,7,4,7,7,10,8,5,2,12,143,54,89,6,10,26,39,62,1,3,7,20,23,5,7,19,19,39,60,26,34,19,93,24,8,38,8,11,55,16,53,22,31,19,5,14,4,10,5,5,2,3,14,3,11,3,13,3,1,4,0,2,9,3,7,4,3,77,39,11,15,11,1,0,2,5,0,0,3,0,7,0,0,0
15,Campania,63,Napoli,49,Napoli,63049,630495100081,63049001,Municipalità  1,Municipalità,48,16,32,1,6,3,3,3,1,2,1,1,6,4,2,4,5,2,4,0,3,1,1,1,0,0,1,0,3,1,1,1,0,1,2,1,3,2,2,2,1,2,0,1,3,3,1,3,5,1,2,42,13,29,1,6,11,10,14,0,3,2,2,6,1,3,9,8,8,14,5,9,9,20,11,4,7,3,5,13,8,10,5,5,8,2,6,2,3,3,2,0,2,6,2,4,1,7,0,0,2,0,1,5,0,4,0,4,23,10,6,3,3,1,0,0,1,0,0,2,0,4,0,0,0
15,Campania,63,Napoli,49,Napoli,63049,630495100091,63049001,Municipalità  1,Municipalità,113,51,62,2,1,3,4,7,9,2,3,8,10,5,11,7,5,7,29,2,1,2,1,3,3,0,1,3,5,3,3,7,1,3,13,0,0,1,3,4,6,2,2,5,5,2,8,0,4,4,16,110,48,62,2,16,19,29,44,1,4,11,13,19,1,12,8,16,25,38,17,21,6,56,41,5,26,17,1,30,24,31,15,16,10,3,7,2,5,3,1,0,1,9,3,6,0,10,0,0,3,0,0,7,0,7,2,5,54,21,16,12,2,3,0,3,1,0,0,0,0,0,0,0,0
15,Campania,63,Napoli,49,Napoli,63049,630495100101,63049001,Municipalità  1,Municipalità,100,45,55,4,4,2,5,9,3,3,5,3,9,9,6,11,8,2,17,1,3,1,2,1,3,1,2,1,5,6,1,5,4,0,9,3,1,1,3,8,0,2,3,2,4,3,5,6,4,2,8,93,42,51,4,5,18,20,46,2,2,4,8,26,2,3,14,12,20,37,19,18,9,53,25,4,24,12,5,29,13,32,17,15,13,5,8,2,6,5,0,0,0,13,5,8,1,10,2,1,3,1,0,7,1,5,2,3,49,23,10,9,5,2,0,3,5,0,0,0,0,3,0,0,0
15,Campania,63,Napoli,49,Napoli,63049,630495100111,63049001,Municipalità  1,Municipalità,18,8,10,0,1,1,0,2,1,0,1,0,1,4,3,2,0,0,2,0,0,0,0,2,1,0,1,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,1,0,0,2,17,8,9,1,1,3,5,7,0,0,2,3,3,1,1,1,2,4,10,6,4,2,14,2,0,8,0,2,6,2,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Campania,63,Napoli,49,Napoli,63049,630495100121,63049001,Municipalità  1,Municipalità,36,22,14,0,0,4,5,1,2,0,1,3,5,5,3,1,0,1,5,0,0,4,4,1,1,0,0,1,4,3,2,1,0,1,0,0,0,0,1,0,1,0,1,2,1,2,1,0,0,0,5,36,22,14,1,4,9,10,12,1,2,7,5,7,0,2,2,5,5,15,10,5,4,25,6,4,16,1,0,9,5,14,9,5,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,16,8,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0
15,Campania,63,Napoli,49,Napoli,63049,630495100131,63049001,Municipalità  1,Municipalità,34,17,17,1,2,2,2,1,4,1,0,2,5,4,1,1,2,3,3,0,1,1,2,1,2,1,0,1,2,2,1,0,1,1,1,1,1,1,0,0,2,0,0,1,3,2,0,1,1,2,2,32,16,16,2,3,5,9,13,0,1,4,6,5,2,2,1,3,8,14,7,7,5,20,8,2,12,3,3,8,5,14,7,7,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,14,4,5,1,3,1,0,1,0,0,0,0,0,0,0,0,0
