codice,nome,comune,Numero di sezioni del censimento,Superficie a fini statistici (Km2),Densità abitativa - Abitanti/Km2,Popolazione residente totale,Popolazione residente in età 0-14 anni,Stranieri residenti,Indice di vecchiaia,Incidenza dei residenti stranieri,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Incidenza degli alunni delle scuole primarie a tempo pieno,Incidenza degli alunni stranieri nelle scuole primarie,Incidenza degli alunni stranieri nelle scuole secondarie di I grado,Incidenza degli alunni stranieri nelle scuole secondarie di II grado,Incidenza degli alunni stranieri nelle scuole,Incidenza degli alunni tra i 6 e i 18 anni e la popolazione residente della stessa fascia di età,Incidenza degli alunni tra i 7 e i 9 anni e la popolazione residente della stessa fascia di età,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ","Uscita precoce dal sistema di istruzione (18-24 anni, stranieri) ","Uscita precoce dal sistema di istruzione (18-24 anni, femmine) ",Giovani di 18-24 anni usciti precocemente dal sistema di istruzione con genitori senza diploma,Indice di affollamento delle abitazioni occupate,Valore immobiliare medio delle abitazioni residenziali,Numero di Musei e Istituzioni similari,Visitatori dei Musei e delle Istituzioni similari,Musei con accesso ai disabili,Ospedali con pronto soccorso,Numero di biblioteche ,Numero di strutture con servizi integrativi per la prima infanzia,Numero di scuole primarie,Numero di scuole primarie a tempo pieno,Numero di scuole secondarie di I grado,Numero di scuole secondarie di II grado,Numero totale di scuole,Numero di stazioni ferroviarie,Prossimità dei musei ,Accessibilità della popolazione residente ai musei,Prossimità delle biblioteche,Accessibilità della popolazione residente alle biblioteche,Prossimità degli ospedali,Accessibilità della popolazione residente agli ospedali,Prossimità delle scuole,Accessibilità della popolazione residente ai servizi educativi per la prima infanzia,Accessibilità della popolazione residente alle scuole,Accessibilità della popolazione residente alle scuole primarie a tempo pieno,Accessibilità della popolazione residente alle scuole secondarie di II grado,Prossimità delle stazioni ferroviarie,Accessibilità della popolazione residente alle stazioni ferroviarie
I,San Nicola,Bari,114,0.900453,6471.186541,5827,675,129,200.148148,22.138322,21.091471,5.697151,42.654758,100,2.5,6.779661,0,4.316547,19.311377,34.83871,52.831257,13.87242,32.236095,4.396024,0.891473,12.147134,44.342508,1.330377,26.598465,100,22.826087,28.504673,0.653747,2283.577925,6,133295,0,0,4,1,1,1,1,0,2,0,4.87,100,4.13,99.485155,18.69,0,1.352788,100,100,100,99.485155,3.411566,3.91282
II,Murat,Bari,162,1.395609,16581.28733,23141,2534,1945,248.224152,84.049955,20.007778,5.034095,76.687669,2.401537,7.684918,7.748405,1.954242,4.863078,174.531686,127.862595,64.812585,9.724665,19.079963,2.323171,0.263667,9.98596,30.693497,0.698205,11.708645,63.087248,9.587021,22.529644,0.352065,2581.978967,0,0,0,0,5,8,2,1,3,2,7,1,0.73,99.961108,0.6,100,8.61,31.005575,0.567798,100,100,100,100,1.525378,39.617994
III,Madonnella,Bari,64,0.554657,19758.14919,10959,1235,1077,212.226721,98.27539,20.293822,5.742102,65.37455,3.628118,15.646259,13.846154,4.706218,6.530899,298.280098,110.162602,61.018742,11.123369,25.557012,2.663856,0.194856,11.216566,38.06056,1.099908,14.992722,61.016949,11.656442,22.162162,0.416075,1502.210278,1,9000,0,0,1,1,1,1,1,3,5,1,1.58,99.790127,0.99,76.357332,7.93,0.684369,0.291127,100,100,100,100,2.759267,100
IV,Liberta',Bari,140,1.820471,19571.303399,35629,3990,2742,222.83208,76.95978,20.721884,6.512814,53.753552,17.975402,16.745506,2.777778,3.307494,7.591463,83.777367,84.137056,55.34183,13.167063,28.146067,3.196626,0.516073,11.162791,37.075973,1.507827,22.008368,65.876777,17.614679,24.029381,0.490935,2177.462121,0,0,0,0,3,5,6,4,1,2,9,0,0.63,42.656263,0.69,87.529821,11.44,37.298268,0.161417,100,100,100,100,0.834286,3.525218
V,Japigia,Bari,163,15.348443,1948.275813,29903,3410,495,251.788856,16.553523,20.442765,3.313982,66.173375,32.429245,2.948113,3.117783,2.181322,2.495697,123.079232,71.284271,60.453035,10.720586,20.650567,1.922164,0.087944,6.662379,29.552286,1.491029,12.765957,46.428571,11.30064,23.481117,0.390897,1528.531739,0,0,0,0,4,4,3,2,2,4,9,2,5.56,8.306859,2.82,19.884293,8.71,17.275859,1.453224,89.215129,80.991874,69.170317,84.626961,2.371224,56.994282
VI,San Pasquale,Bari,114,4.123394,4783.922897,19726,2038,1069,269.479882,54.192436,19.547805,3.782758,75.428792,27.372881,2.79661,1.059322,3.082813,2.765627,308.397313,170.588235,63.9157,9.829645,17.657466,1.80776,0.123084,7.174706,25.45194,1.147826,8.009331,58.75,6.091371,11.392405,0.375627,1648.529013,1,500,0,2,1,4,4,2,2,6,12,0,4.59,18.726554,4.36,64.214742,4.76,57.877928,0.855348,96.243536,99.158471,83.351921,96.446315,5.30032,42.867282
VII,Carrassi,Bari,121,3.054971,10732.997248,32789,3342,1319,283.004189,40.226905,18.859984,2.721876,75.482592,19.471154,8.173077,3.819444,0,5.645161,31.799813,38.938053,63.027735,10.128169,18.724922,2.063983,0.17713,8.490235,24.554954,1.175968,8.116085,53.684211,6.087824,13.302752,0.384677,1990.15676,0,0,0,0,3,4,3,2,2,0,5,0,1.76,2.025069,0.55,79.166794,6.56,92.768916,0.762057,99.829211,100,99.524231,96.349385,2.056459,51.251944
VIII,Picone,Bari,240,14.637017,2748.920734,40236,4215,1158,286.144721,28.780197,19.278755,2.528056,77.75982,22.7446,2.498941,2.966102,2.32687,2.578206,102.524776,100.786517,65.257518,9.273583,17.141282,1.624442,0.310745,7.142857,22.483998,0.947018,6.987076,47.916667,6.134454,13.436123,0.371007,1650,0,0,0,1,1,13,6,3,3,3,12,0,10.62,0,3.45,29.776817,6.17,88.246844,1.015677,97.07973,95.382245,89.407496,94.987076,9.356939,32.259668
IX,Stanic,Bari,78,10.768416,398.20154,4288,590,116,136.271186,27.052239,26.609142,3.864279,47.41784,46.258503,5.442177,2.807018,0,3.703704,68.346457,69.69697,53.608247,13.195458,25.844156,4.070474,0.184275,7.560628,33.049818,1.095618,17.934783,50,17.222222,23.728814,0.511885,1716.004085,0,0,0,0,1,1,1,1,1,0,2,1,8.2,0,6.53,2.262127,11.95,23.787313,0.60997,57.206157,57.346082,57.346082,22.224813,1.77634,3.89459
X,Marconi San Girolamo Fesca,Bari,131,5.167113,3035.544273,15685,2184,184,126.098901,11.730953,25.744342,3.049257,56.212752,27.8,4.6,8.229426,0,6.215316,41.615782,71.526196,59.308592,10.738161,21.47651,2.814623,0.082075,8.855932,26.49628,1.322088,13.145897,37.5,11.587302,20.8413,0.492321,1150,0,0,0,0,0,1,2,1,1,0,3,1,17.5,0,6,0,9.2,0,0.340169,12.030602,91.252789,16.850494,0.070131,8.432646,21.944533
